2.7881 	WARNING 	Movie2 stim could not be imported and won't be available
252.5368 	DATA 	Keypress: t
252.7374 	DATA 	Keypress: t
252.9378 	DATA 	Keypress: t
253.1718 	DATA 	Keypress: t
253.4058 	DATA 	Keypress: t
253.6732 	DATA 	Keypress: t
253.9071 	DATA 	Keypress: t
254.2080 	DATA 	Keypress: t
254.4754 	DATA 	Keypress: t
254.6090 	DATA 	Keypress: t
254.8430 	DATA 	Keypress: t
255.1771 	DATA 	Keypress: t
255.3777 	DATA 	Keypress: t
255.5782 	DATA 	Keypress: t
255.7788 	DATA 	Keypress: t
256.0462 	DATA 	Keypress: t
256.2802 	DATA 	Keypress: t
256.5141 	DATA 	Keypress: t
256.6812 	DATA 	Keypress: t
256.8817 	DATA 	Keypress: t
257.0823 	DATA 	Keypress: t
257.3497 	DATA 	Keypress: t
257.5502 	DATA 	Keypress: t
257.7506 	DATA 	Keypress: t
257.9179 	DATA 	Keypress: t
258.1519 	DATA 	Keypress: t
258.3524 	DATA 	Keypress: t
258.4861 	DATA 	Keypress: t
258.6532 	DATA 	Keypress: t
258.8871 	DATA 	Keypress: t
259.1211 	DATA 	Keypress: t
259.3216 	DATA 	Keypress: t
259.4553 	DATA 	Keypress: t
259.7227 	DATA 	Keypress: t
259.9233 	DATA 	Keypress: t
260.1572 	DATA 	Keypress: t
260.3577 	DATA 	Keypress: t
260.6250 	DATA 	Keypress: t
260.8591 	DATA 	Keypress: t
261.0262 	DATA 	Keypress: t
261.2601 	DATA 	Keypress: t
261.5275 	DATA 	Keypress: t
261.7632 	DATA 	Keypress: t
261.9638 	DATA 	Keypress: t
262.1646 	DATA 	Keypress: t
262.3314 	DATA 	Keypress: t
262.5654 	DATA 	Keypress: t
262.7661 	DATA 	Keypress: t
262.9666 	DATA 	Keypress: t
263.1671 	DATA 	Keypress: t
263.4010 	DATA 	Keypress: t
263.5683 	DATA 	Keypress: t
263.8355 	DATA 	Keypress: t
264.1363 	DATA 	Keypress: t
264.3368 	DATA 	Keypress: t
264.5041 	DATA 	Keypress: t
264.7380 	DATA 	Keypress: t
264.9720 	DATA 	Keypress: t
265.2059 	DATA 	Keypress: t
265.4732 	DATA 	Keypress: t
265.7073 	DATA 	Keypress: t
265.9749 	DATA 	Keypress: t
271.4225 	DATA 	Keypress: 5
272.3296 	DATA 	Keypress: return
272.3299 	DATA 	RatingScale teddy_rating: (key response) rating=5
272.3300 	DATA 	RatingScale teddy_rating: rating RT=10.710
272.3300 	DATA 	RatingScale teddy_rating: history=[(None, 0.0), (5, 9.803), (5, 10.71)]
273.5448 	DATA 	Keypress: 1
274.0506 	DATA 	Keypress: return
274.0509 	DATA 	RatingScale MM_rating: (key response) rating=1
274.0510 	DATA 	RatingScale MM_rating: rating RT=1.713
274.0510 	DATA 	RatingScale MM_rating: history=[(None, 0.0), (1, 1.207), (1, 1.713)]
274.9652 	DATA 	Keypress: 4
275.3040 	DATA 	Keypress: return
275.3043 	DATA 	RatingScale BBQ_rating: (key response) rating=4
275.3044 	DATA 	RatingScale BBQ_rating: rating RT=1.245
275.3044 	DATA 	RatingScale BBQ_rating: history=[(None, 0.0), (4, 0.907), (4, 1.245)]
276.8872 	DATA 	Keypress: 2
277.0921 	DATA 	Keypress: return
277.0924 	DATA 	RatingScale Hunger_rating: (key response) rating=2
277.0925 	DATA 	RatingScale Hunger_rating: rating RT=1.780
277.0925 	DATA 	RatingScale Hunger_rating: history=[(None, 0.0), (2, 1.575), (2, 1.78)]
278.5565 	DATA 	Keypress: escape
